ID,W,G,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,BBHBP,SF,Outs,Outsinplay,RA,BA,OBA,SLG,OPS
395,74,162,689,5501,1419,978,250,27,164,488,1006,124,56,0,488,0,4082,3076,691,0.257953099,0.318417098,0.402654063,0.721071161
397,93,162,814,5532,1518,1038,268,26,186,613,760,55,53,0,613,0,4014,3254,670,0.274403471,0.346786005,0.433116414,0.779902418
399,75,162,601,5518,1346,1001,216,31,98,579,954,108,58,0,579,0,4172,3218,690,0.24392896,0.315729047,0.347589706,0.663318753
401,73,162,923,5690,1663,1065,324,61,213,511,1027,132,54,61,572,50,4027,3000,906,0.292267135,0.354087452,0.482952548,0.837040001
403,103,162,733,5433,1379,984,209,22,164,651,992,141,54,0,651,0,4054,3062,570,0.253819253,0.333662064,0.39094423,0.724606294
405,74,162,714,5604,1480,1041,228,45,166,452,764,60,46,0,452,0,4124,3360,751,0.264097074,0.319022457,0.409707352,0.728729809
407,75,161,655,5490,1400,1059,209,38,94,611,800,101,54,0,611,0,4090,3290,703,0.255009107,0.329618095,0.358287796,0.687905891
409,96,162,802,5439,1343,851,295,37,160,672,1292,172,47,57,729,57,4096,2804,649,0.24692039,0.332851406,0.40301526,0.735866666
411,75,161,809,5570,1461,966,274,27,194,613,1202,134,48,0,613,0,4109,2907,838,0.262298025,0.335435873,0.42567325,0.761109122
413,78,162,851,5781,1684,1094,373,32,185,514,1044,68,48,0,514,0,4097,3053,857,0.291299083,0.349166005,0.462895693,0.812061698
415,100,163,735,5583,1489,1098,228,38,125,505,695,98,42,0,505,0,4094,3399,582,0.26670249,0.327529566,0.388321691,0.715851257
417,98,162,769,5589,1484,1042,223,28,191,588,896,114,62,0,588,0,4105,3209,582,0.26552156,0.335437915,0.417963858,0.753401772
419,77,162,640,5474,1419,1035,251,26,107,596,749,105,51,0,596,0,4055,3306,680,0.259225429,0.331960461,0.373218853,0.705179314
421,84,162,777,5502,1427,940,314,40,133,633,1085,171,74,0,633,0,4075,2990,660,0.259360233,0.335778321,0.40348964,0.739267961
423,65,162,764,5589,1451,957,274,23,197,642,1181,71,36,0,642,0,4138,2957,946,0.259617105,0.335901139,0.422615853,0.758516992
425,72,162,753,5604,1514,1035,316,33,130,618,1023,58,27,42,660,34,4090,3067,778,0.270164168,0.345188949,0.407922912,0.753111861
427,72,162,640,5543,1452,1010,311,37,94,452,1044,108,46,48,500,44,4091,3047,759,0.261952012,0.320683424,0.382283962,0.702967385
429,98,162,731,5615,1468,948,301,25,194,479,1325,105,35,41,520,36,4147,2822,594,0.261442565,0.322152001,0.42760463,0.749756632
431,101,162,907,5670,1608,1021,321,31,235,545,933,68,22,49,594,49,4062,3129,740,0.283597884,0.348804055,0.475485009,0.824289064
433,83,161,818,5517,1451,981,234,22,214,604,908,69,43,0,604,0,4066,3158,764,0.263005256,0.335729456,0.429762552,0.765492008
435,83,162,718,5486,1447,992,275,32,148,499,968,96,43,58,557,40,4039,3071,700,0.263762304,0.329442709,0.406489245,0.735931955
437,81,162,805,5543,1455,923,339,22,171,560,1213,77,29,103,663,49,4088,2875,761,0.262493235,0.338609113,0.424138553,0.762747666
439,62,143,563,4779,1182,813,238,24,107,436,920,79,46,0,436,0,3597,2677,658,0.247332078,0.310258869,0.374346098,0.684604966
441,89,162,818,5646,1511,920,358,22,211,587,1140,68,17,47,634,46,4135,2995,744,0.267623096,0.339076826,0.450938718,0.790015543
443,93,162,795,5561,1509,1047,290,33,139,586,989,108,37,53,639,46,4052,3063,637,0.271354073,0.343900096,0.410357849,0.754257945
445,81,162,684,5544,1414,957,271,28,158,454,1094,116,23,63,517,39,4130,3036,680,0.255050505,0.316557377,0.399531025,0.716088402
447,80,161,624,5441,1319,886,257,22,154,470,1323,106,38,65,535,32,4122,2799,643,0.242418673,0.308588549,0.382650248,0.691238797
449,75,162,673,5497,1392,990,227,41,134,568,842,90,59,0,568,0,4105,3263,711,0.253229034,0.323165705,0.382572312,0.705738017
451,49,113,500,3918,1015,691,189,26,109,364,750,69,53,0,364,0,2903,2153,549,0.259060745,0.322045773,0.40403267,0.726078443
453,92,162,699,5469,1365,931,241,52,141,508,1071,87,54,0,508,0,4104,3033,600,0.24958859,0.31336791,0.390016456,0.703384367
455,70,144,668,4950,1345,978,231,20,116,447,872,124,46,0,447,0,3605,2733,672,0.271717172,0.332036316,0.396767677,0.728803993
457,81,163,628,5573,1400,985,260,48,107,454,1053,189,89,0,454,0,4173,3120,592,0.251211197,0.307615729,0.372689754,0.680305483
